video,frame,bbox,predicted,confidence
ThesisMP4TEST5.mp4,325,"485,395,523,437",Unknown,0.005808255789138891
ThesisMP4TEST5.mp4,330,"516,393,550,434",Unknown,0.0054290317536962755
ThesisMP4TEST5.mp4,330,"736,422,770,463",Unknown,0.0053937893566406575
ThesisMP4TEST5.mp4,335,"701,418,746,469",Unknown,0.005220095109003113
ThesisMP4TEST5.mp4,335,"543,392,570,431",Unknown,0.005196696744120179
ThesisMP4TEST5.mp4,340,"671,417,717,472",Unknown,0.005241941054823899
ThesisMP4TEST5.mp4,340,"555,394,581,430",Unknown,0.005363636633623523
ThesisMP4TEST5.mp4,345,"568,391,595,436",Unknown,0.005459000790757455
ThesisMP4TEST5.mp4,350,"612,415,650,459",Unknown,0.005251828877341993
ThesisMP4TEST5.mp4,355,"585,407,622,455",Unknown,0.0055559403386404695
ThesisMP4TEST5.mp4,360,"560,401,594,443",Unknown,0.005510910478701781
ThesisMP4TEST5.mp4,360,"633,403,657,436",Unknown,0.005234765329884993
ThesisMP4TEST5.mp4,365,"526,398,572,451",Unknown,0.00553088514944949
ThesisMP4TEST5.mp4,365,"659,401,688,440",Unknown,0.005319394142991317
ThesisMP4TEST5.mp4,370,"682,394,712,434",Unknown,0.005329330421976853
ThesisMP4TEST5.mp4,375,"703,397,732,438",Unknown,0.005441944390073109
ThesisMP4TEST5.mp4,380,"725,399,756,442",Unknown,0.005572495030817867
ThesisMP4TEST5.mp4,385,"342,404,388,457",Unknown,0.005313846242610553
ThesisMP4TEST5.mp4,385,"485,399,519,445",Unknown,0.005439767430812137
ThesisMP4TEST5.mp4,385,"754,403,786,446",Unknown,0.005256614176544769
ThesisMP4TEST5.mp4,390,"517,391,557,443",Unknown,0.005399681483225464
ThesisMP4TEST5.mp4,390,"785,404,817,445",Unknown,0.005389336912265376
ThesisMP4TEST5.mp4,395,"554,391,594,445",Unknown,0.005242465162998472
ThesisMP4TEST5.mp4,395,"815,405,853,452",Unknown,0.0054511028986799215
ThesisMP4TEST5.mp4,400,"858,402,901,452",Unknown,0.005464512939976283
ThesisMP4TEST5.mp4,405,"901,405,942,455",Unknown,0.005492531529545097
ThesisMP4TEST5.mp4,405,"645,391,684,443",Unknown,0.005352478501066555
ThesisMP4TEST5.mp4,410,"953,408,996,459",Unknown,0.005449065312104153
ThesisMP4TEST5.mp4,410,"711,402,743,447",Unknown,0.005329348895904031
ThesisMP4TEST5.mp4,415,"1002,414,1052,472",Unknown,0.0055820321840475695
ThesisMP4TEST5.mp4,420,"790,397,844,463",Unknown,0.005446497488849123
ThesisMP4TEST5.mp4,420,"1055,411,1111,474",Unknown,0.005615853349366024
ThesisMP4TEST5.mp4,425,"1102,415,1158,476",Unknown,0.0059101942481245475
ThesisMP4TEST5.mp4,430,"1157,428,1213,491",Unknown,0.005591099354595834
ThesisMP4TEST5.mp4,435,"1215,433,1265,496",Unknown,0.005468012849974569
ThesisMP4TEST5.mp4,435,"935,403,975,457",Unknown,0.005342943951728223
ThesisMP4TEST5.mp4,440,"966,400,1019,465",Unknown,0.00528030132774465
ThesisMP4TEST5.mp4,445,,None,0.0
ThesisMP4TEST5.mp4,450,"1014,407,1164,595",Unknown,0.005171679417693396
ThesisMP4TEST5.mp4,455,"1165,500,1206,551",Unknown,0.005232032697668631
ThesisMP4TEST5.mp4,460,"1036,411,1069,465",Unknown,0.005653055785793057
ThesisMP4TEST5.mp4,465,"1016,411,1051,469",Unknown,0.005407426003876773
ThesisMP4TEST5.mp4,470,"992,408,1029,469",Unknown,0.005289747005039592
ThesisMP4TEST5.mp4,475,"1002,378,1176,601",Unknown,0.005183550301491927
ThesisMP4TEST5.mp4,475,"964,407,1007,473",Unknown,0.005651020382820692
ThesisMP4TEST5.mp4,480,"942,404,989,468",Unknown,0.005346979194899661
ThesisMP4TEST5.mp4,485,"906,409,950,466",Unknown,0.0054451114068954235
ThesisMP4TEST5.mp4,490,"863,413,907,468",Unknown,0.005563767560812653
ThesisMP4TEST5.mp4,495,"816,406,863,466",Unknown,0.0054906520499395884
ThesisMP4TEST5.mp4,500,"769,401,819,467",Unknown,0.005369741100443893
ThesisMP4TEST5.mp4,505,"731,405,770,457",Unknown,0.005272969666615642
ThesisMP4TEST5.mp4,510,"681,403,724,461",Unknown,0.005210915377265337
ThesisMP4TEST5.mp4,515,"634,402,676,460",Unknown,0.0053128721846531415
ThesisMP4TEST5.mp4,515,"1044,548,1072,583",Unknown,0.00557747263018877
ThesisMP4TEST5.mp4,520,"594,405,634,460",Unknown,0.005254930025612383
ThesisMP4TEST5.mp4,525,"554,407,594,460",Unknown,0.005265296663584449
ThesisMP4TEST5.mp4,525,"1157,471,1189,513",Unknown,0.005392545940601006
ThesisMP4TEST5.mp4,530,"1233,429,1286,501",Unknown,0.005475900820749568
ThesisMP4TEST5.mp4,530,"516,403,552,455",Unknown,0.00557345045797098
ThesisMP4TEST5.mp4,530,"1147,473,1181,513",Unknown,0.0053914522646176695
ThesisMP4TEST5.mp4,535,"1187,425,1236,490",Unknown,0.005284550430283941
ThesisMP4TEST5.mp4,535,"480,405,513,450",Unknown,0.005413827394336503
ThesisMP4TEST5.mp4,535,"1129,476,1163,514",Unknown,0.00523863466877181
ThesisMP4TEST5.mp4,540,"1147,426,1195,493",Unknown,0.0054818467609829315
ThesisMP4TEST5.mp4,540,"443,407,482,456",Unknown,0.005266398240613987
ThesisMP4TEST5.mp4,540,"1107,472,1143,519",Unknown,0.0053873183303328525
ThesisMP4TEST5.mp4,545,"1108,421,1160,493",Unknown,0.005299531686494772
ThesisMP4TEST5.mp4,545,"133,553,151,574",Unknown,0.005374230137977547
ThesisMP4TEST5.mp4,550,"1072,421,1125,497",Unknown,0.0051985977057461335
ThesisMP4TEST5.mp4,555,"1041,426,1087,492",Unknown,0.0057681433242142595
ThesisMP4TEST5.mp4,555,"341,410,380,457",Unknown,0.005302814363683883
ThesisMP4TEST5.mp4,555,"134,552,153,574",Unknown,0.00534130942317554
ThesisMP4TEST5.mp4,560,"1010,422,1056,491",Unknown,0.0055700359684740615
ThesisMP4TEST5.mp4,560,"327,410,365,458",Unknown,0.005304939139125523
ThesisMP4TEST5.mp4,565,"127,391,180,455",Unknown,0.005907314709836636
ThesisMP4TEST5.mp4,565,"978,421,1018,488",Unknown,0.005542800286850269
ThesisMP4TEST5.mp4,565,"323,408,358,452",Unknown,0.005197278231111726
ThesisMP4TEST5.mp4,570,"160,386,213,452",Unknown,0.005534010496419739
ThesisMP4TEST5.mp4,570,"942,423,982,488",Unknown,0.0055675478887734
ThesisMP4TEST5.mp4,570,"324,402,362,453",Unknown,0.005426333264332647
ThesisMP4TEST5.mp4,575,"203,387,248,450",Unknown,0.005458790364533818
ThesisMP4TEST5.mp4,575,"896,419,936,479",Unknown,0.005624911146276277
ThesisMP4TEST5.mp4,575,"969,444,1008,494",Unknown,0.0054384282078917085
ThesisMP4TEST5.mp4,575,"328,398,364,449",Unknown,0.005677150388475765
ThesisMP4TEST5.mp4,580,"857,413,898,476",Unknown,0.005304545474627711
ThesisMP4TEST5.mp4,580,"335,398,379,449",Unknown,0.005316176867188024
ThesisMP4TEST5.mp4,580,"248,393,284,445",Unknown,0.005222383321796503
ThesisMP4TEST5.mp4,580,"948,444,985,493",Unknown,0.00539728290786138
ThesisMP4TEST5.mp4,585,"834,417,876,479",Unknown,0.005471938909785641
ThesisMP4TEST5.mp4,585,"352,400,400,449",Unknown,0.005272859496020035
ThesisMP4TEST5.mp4,585,"927,445,967,495",Unknown,0.005453450487243351
ThesisMP4TEST5.mp4,590,"824,416,861,475",Unknown,0.005302115379601893
ThesisMP4TEST5.mp4,590,"379,400,422,448",Unknown,0.005363559620359288
ThesisMP4TEST5.mp4,590,"914,449,952,500",Unknown,0.005489650117110119
ThesisMP4TEST5.mp4,595,"406,381,463,448",Unknown,0.005587478467458264
ThesisMP4TEST5.mp4,595,"816,419,856,485",Unknown,0.005436940007477512
ThesisMP4TEST5.mp4,595,"899,447,938,499",Unknown,0.00536998139582933
