frame,track_id,name,confidence,inference_time_ms,pose,pose_confidence,is_locked,consecutive_back_frames,frames_since_face
0,1,Unknown,0.0,331.78257942199707,frontal,0.7,False,0,0
2,1,Unknown,0.0,15.600442886352539,frontal,0.7,False,0,0
4,1,Unknown,0.0,14.024019241333008,profile,0.5,False,0,0
6,1,Unknown,0.0,12.92729377746582,frontal,0.7,False,0,0
8,1,Unknown,0.0,18.870830535888672,frontal,0.7,False,0,0
10,1,Unknown,0.0,14.661788940429688,frontal,0.7,False,0,0
12,1,Unknown,0.0,11.270523071289062,profile,0.5,False,0,0
14,1,Unknown,0.0,13.822555541992188,frontal,0.7,False,0,0
16,1,Unknown,0.0,14.328718185424805,frontal,0.7,False,0,0
18,1,Unknown,0.0,12.838125228881836,frontal,0.7,False,0,0
20,1,Unknown,0.0,13.564348220825195,frontal,0.7,False,0,0
22,1,Unknown,0.0,12.254714965820312,frontal,0.7,False,0,0
24,1,Unknown,0.0,12.117624282836914,frontal,0.7,False,0,0
26,1,Unknown,0.0,11.406183242797852,frontal,0.7,False,0,0
28,1,Unknown,0.0,15.00844955444336,frontal,0.7,False,0,0
30,1,Unknown,0.0,15.269756317138672,frontal,0.7,False,0,0
32,1,Unknown,0.0,13.250350952148438,frontal,0.7,False,0,0
34,1,Unknown,0.0,13.961076736450195,profile,0.5,False,0,0
36,1,Unknown,0.0,10.995626449584961,frontal,0.7,False,0,0
38,1,Unknown,0.0,14.634132385253906,profile,0.5,False,0,0
40,1,Unknown,0.0,17.184019088745117,frontal,0.7,False,0,0
42,1,Unknown,0.0,11.075735092163086,frontal,0.7,False,0,0
44,1,Unknown,0.0,10.994672775268555,frontal,0.7,False,0,0
46,1,Unknown,0.0,13.839960098266602,frontal,0.7,False,0,0
48,1,Unknown,0.0,14.074563980102539,frontal,0.7,False,0,0
50,1,Unknown,0.0,10.753154754638672,frontal,0.7,False,0,0
52,1,Unknown,0.0,15.022993087768555,frontal,0.7,False,0,0
54,1,Unknown,0.0,13.155937194824219,partial_back,0.5,False,1,0
56,1,Unknown,0.0,10.619640350341797,frontal,0.7,False,0,0
58,1,Unknown,0.0,11.610031127929688,partial_back,0.5,False,1,0
60,1,Unknown,0.0,15.028238296508789,partial_back,0.5,False,2,0
62,1,Unknown,0.0,11.034965515136719,partial_back,0.5,False,3,0
64,1,Unknown,0.0,10.686635971069336,partial_back,0.5,False,4,0
66,1,Unknown,0.0,11.498212814331055,partial_back,0.5,False,5,0
68,1,Unknown,0.0,14.05024528503418,partial_back,0.5,False,6,0
70,1,Unknown,0.0,13.961076736450195,partial_back,0.5,False,7,0
72,1,Unknown,0.0,13.997077941894531,partial_back,0.5,False,8,0
74,1,Unknown,0.0,14.610767364501953,partial_back,0.5,False,9,0
76,1,Unknown,0.0,11.536836624145508,partial_back,0.5,False,10,0
78,1,Unknown,0.0,13.163089752197266,partial_back,0.5,False,11,0
80,1,Unknown,0.0,13.231992721557617,partial_back,0.5,False,12,0
82,1,Unknown,0.0,11.067390441894531,partial_back,0.5,False,13,0
84,1,Unknown,0.0,14.795064926147461,partial_back,0.5,False,14,0
86,1,Unknown,0.0,15.179872512817383,partial_back,0.5,False,15,0
88,1,Unknown,0.0,11.810064315795898,partial_back,0.5,False,16,0
