frame,track_id,name,confidence,inference_time_ms,pose,pose_confidence,is_locked,consecutive_back_frames,frames_since_face
0,1,Unknown,0.0,312.6082420349121,frontal,0.7,False,0,0
2,1,Unknown,0.0,11.95073127746582,frontal,0.7,False,0,0
4,1,Unknown,0.0,11.486053466796875,profile,0.5,False,0,0
6,1,Unknown,0.0,14.037132263183594,frontal,0.7,False,0,0
8,1,Unknown,0.0,11.321544647216797,frontal,0.7,False,0,0
10,1,Unknown,0.0,11.620044708251953,frontal,0.7,False,0,0
12,1,Unknown,0.0,11.255979537963867,profile,0.5,False,0,0
14,1,Unknown,0.0,11.166810989379883,frontal,0.7,False,0,0
16,1,Unknown,0.0,11.203765869140625,frontal,0.7,False,0,0
18,1,Unknown,0.0,14.863729476928711,frontal,0.7,False,0,0
20,1,Unknown,0.0,11.816024780273438,frontal,0.7,False,0,0
22,1,Unknown,0.0,11.068344116210938,frontal,0.7,False,0,0
24,1,Unknown,0.0,11.421680450439453,frontal,0.7,False,0,0
26,1,Unknown,0.0,11.507272720336914,frontal,0.7,False,0,0
28,1,Unknown,0.0,11.089801788330078,frontal,0.7,False,0,0
30,1,Unknown,0.0,10.994195938110352,frontal,0.7,False,0,0
32,1,Unknown,0.0,11.16037368774414,frontal,0.7,False,0,0
34,1,Unknown,0.0,10.88094711303711,profile,0.5,False,0,0
36,1,Unknown,0.0,11.03663444519043,frontal,0.7,False,0,0
38,1,Unknown,0.0,12.004852294921875,profile,0.5,False,0,0
40,1,Unknown,0.0,11.434793472290039,frontal,0.7,False,0,0
42,1,Unknown,0.0,10.772943496704102,frontal,0.7,False,0,0
44,1,Unknown,0.0,11.45792007446289,frontal,0.7,False,0,0
46,1,Unknown,0.0,10.821104049682617,frontal,0.7,False,0,0
48,1,Unknown,0.0,11.212587356567383,frontal,0.7,False,0,0
50,1,Unknown,0.0,11.288881301879883,frontal,0.7,False,0,0
52,1,Unknown,0.0,11.874914169311523,frontal,0.7,False,0,0
54,1,Unknown,0.0,11.675119400024414,partial_back,0.5,False,1,0
56,1,Unknown,0.0,11.373043060302734,frontal,0.7,False,0,0
58,1,Unknown,0.0,11.698246002197266,partial_back,0.5,False,1,0
60,1,Unknown,0.0,11.205673217773438,partial_back,0.5,False,2,0
62,1,Unknown,0.0,11.069059371948242,partial_back,0.5,False,3,0
64,1,Unknown,0.0,11.23666763305664,partial_back,0.5,False,4,0
66,1,Unknown,0.0,13.15927505493164,partial_back,0.5,False,5,0
68,1,Unknown,0.0,11.14511489868164,partial_back,0.5,False,6,0
70,1,Unknown,0.0,12.192249298095703,partial_back,0.5,False,7,0
72,1,Unknown,0.0,11.118173599243164,partial_back,0.5,False,8,0
74,1,Unknown,0.0,11.340856552124023,partial_back,0.5,False,9,0
76,1,Unknown,0.0,10.833740234375,partial_back,0.5,False,10,0
78,1,Unknown,0.0,11.008024215698242,partial_back,0.5,False,11,0
80,1,Unknown,0.0,10.897397994995117,partial_back,0.5,False,12,0
82,1,Unknown,0.0,10.729074478149414,partial_back,0.5,False,13,0
84,1,Unknown,0.0,11.120080947875977,partial_back,0.5,False,14,0
86,1,Unknown,0.0,11.291027069091797,partial_back,0.5,False,15,0
88,1,Unknown,0.0,11.62099838256836,partial_back,0.5,False,16,0
90,1,Unknown,0.0,11.045217514038086,partial_back,0.5,False,17,0
