frame,track_id,name,confidence,inference_time_ms,ground_truth
0,1,Unknown,0.0,409.3616008758545,Unknown
2,1,Unknown,0.0,120.55683135986328,Unknown
4,1,Myke,0.4689296701494068,98.97804260253906,Unknown
6,1,Myke,0.5077697096320755,59.94129180908203,Unknown
8,1,Myke,0.4899404708531321,60.37783622741699,Unknown
10,1,Myke,0.5736371931183316,62.00575828552246,Unknown
12,1,Myke,0.5934034544485196,55.38058280944824,Unknown
14,1,Myke,0.6356030236857847,50.498247146606445,Unknown
16,1,Myke,0.8729358826939061,47.834157943725586,Unknown
18,1,Myke,0.8720159599278937,52.62136459350586,Unknown
20,1,Myke,0.8275412907242558,42.383432388305664,Unknown
22,1,Myke,0.8989099800859884,46.51784896850586,Unknown
24,1,Myke,0.8246311720921821,49.85547065734863,Unknown
26,1,Myke,0.7429170678224442,42.650699615478516,Unknown
28,1,Myke,0.9215376915208207,36.53597831726074,Unknown
30,1,Myke,0.9083335608146965,45.28045654296875,Unknown
32,1,Myke,0.856073030048375,48.497676849365234,Unknown
34,1,Myke,0.5527795351737659,62.17336654663086,Unknown
36,1,Unknown,0.0,53.62439155578613,Unknown
38,1,Unknown,0.0,58.16340446472168,Unknown
40,1,Unknown,0.0,61.51914596557617,Unknown
42,1,Unknown,0.0,52.20484733581543,Unknown
44,1,Unknown,0.0,51.016807556152344,Unknown
46,1,Unknown,0.0,43.8237190246582,Unknown
48,1,Unknown,0.0,79.95009422302246,Unknown
50,1,Myke,0.4856715226230888,48.87557029724121,Unknown
52,1,Unknown,0.0,51.70941352844238,Unknown
54,1,Unknown,0.0,53.67159843444824,Unknown
56,1,Unknown,0.0,30.663013458251953,Unknown
58,1,Unknown,0.0,36.672353744506836,Unknown
60,1,Unknown,0.0,43.500661849975586,Unknown
62,1,Unknown,0.0,31.59356117248535,Unknown
64,1,Myke,0.46963682625842734,46.965837478637695,Unknown
66,1,Myke,0.6107619695568103,37.3225212097168,Unknown
68,1,Myke,0.47816445998090074,30.158519744873047,Unknown
70,1,Unknown,0.0,42.276859283447266,Unknown
72,1,Unknown,0.0,19.03986930847168,Unknown
74,1,Unknown,0.0,37.1394157409668,Unknown
76,1,Unknown,0.0,47.098398208618164,Unknown
78,1,Unknown,0.0,39.374589920043945,Unknown
80,1,Unknown,0.0,63.65060806274414,Unknown
82,1,Unknown,0.0,47.88517951965332,Unknown
84,1,Unknown,0.0,28.33390235900879,Unknown
86,1,Unknown,0.0,30.770063400268555,Unknown
88,1,Unknown,0.0,38.205862045288086,Unknown
90,1,Unknown,0.0,31.38279914855957,Unknown
92,1,Unknown,0.0,33.67352485656738,Unknown
94,1,Unknown,0.0,29.80208396911621,Unknown
96,1,Unknown,0.0,25.40135383605957,Unknown
98,1,Unknown,0.0,44.98124122619629,Unknown
100,1,Unknown,0.0,28.103351593017578,Unknown
102,1,Unknown,0.0,45.02463340759277,Unknown
104,1,Unknown,0.0,27.06766128540039,Unknown
106,1,Unknown,0.0,24.513959884643555,Unknown
110,1,Unknown,0.0,27.64129638671875,Unknown
116,1,Unknown,0.0,13.917684555053711,Unknown
118,1,Unknown,0.0,16.612768173217773,Unknown
120,1,Unknown,0.0,19.908428192138672,Unknown
122,1,Unknown,0.0,16.960620880126953,Unknown
132,1,Unknown,0.0,16.724586486816406,Unknown
134,1,Unknown,0.0,23.55170249938965,Unknown
136,1,Unknown,0.0,35.86983680725098,Unknown
138,1,Unknown,0.0,36.19527816772461,Unknown
140,1,Unknown,0.0,45.97640037536621,Unknown
142,1,Unknown,0.0,35.96782684326172,Unknown
144,1,Unknown,0.0,33.442020416259766,Unknown
146,1,Myke,0.49163043506076515,31.78548812866211,Unknown
148,1,Unknown,0.0,41.57567024230957,Unknown
150,1,Unknown,0.0,48.143863677978516,Unknown
152,1,Unknown,0.0,32.22823143005371,Unknown
154,1,Unknown,0.0,108.80351066589355,Unknown
158,1,Unknown,0.0,41.12410545349121,Unknown
160,1,Unknown,0.0,46.9970703125,Unknown
162,1,Unknown,0.0,50.762176513671875,Unknown
164,1,Unknown,0.0,49.6821403503418,Unknown
166,1,Unknown,0.0,61.472177505493164,Unknown
168,1,Unknown,0.0,41.71347618103027,Unknown
170,1,Unknown,0.0,41.440486907958984,Unknown
172,1,Unknown,0.0,97.11408615112305,Unknown
174,1,Unknown,0.0,84.05661582946777,Unknown
176,1,Unknown,0.0,52.55579948425293,Unknown
