frame,track_id,name,confidence,inference_time_ms,pose,pose_confidence,is_locked,consecutive_back_frames,frames_since_face
0,1,Unknown,0.0,278.0330181121826,partial_back,0.5,False,1,0
0,2,Unknown,0.0,184.81945991516113,back_view,0.8999999999999999,False,1,0
2,1,Unknown,0.0,46.587228775024414,partial_back,0.5,False,2,0
2,2,Unknown,0.0,53.31826210021973,back_view,0.7,False,2,0
4,1,Unknown,0.0,38.0854606628418,partial_back,0.5,False,3,0
4,2,Unknown,0.0,20.435094833374023,back_view,0.7,False,3,0
6,1,Unknown,0.0,56.717634201049805,partial_back,0.5,False,4,0
6,2,Unknown,0.0,49.13616180419922,back_view,0.7,False,3,0
8,1,Unknown,0.0,50.58145523071289,partial_back,0.5,False,5,0
8,2,Unknown,0.0,27.052879333496094,back_view,0.7,False,4,2
10,1,Unknown,0.0,42.54508018493652,partial_back,0.5,False,6,0
10,2,Unknown,0.0,19.828081130981445,back_view,0.7,False,5,4
12,1,Unknown,0.0,45.88818550109863,partial_back,0.5,False,7,0
12,2,Unknown,0.0,26.691198348999023,back_view,0.7,False,6,6
14,1,Unknown,0.0,42.36102104187012,partial_back,0.5,False,8,0
14,2,Unknown,0.0,24.165868759155273,back_view,0.7,False,7,8
16,1,Unknown,0.0,41.66769981384277,partial_back,0.5,False,9,0
16,2,Unknown,0.0,39.140939712524414,back_view,0.7,False,8,10
18,1,Unknown,0.0,41.02611541748047,partial_back,0.5,False,10,0
18,2,Unknown,0.0,18.988609313964844,back_view,0.7,False,9,12
20,1,Unknown,0.0,25.07925033569336,partial_back,0.5,False,11,0
20,2,Unknown,0.0,22.145986557006836,back_view,0.7,False,10,14
22,1,Unknown,0.0,27.031421661376953,partial_back,0.5,False,12,0
22,2,Unknown,0.0,23.348569869995117,profile,0.5,False,0,16
24,1,Unknown,0.0,18.69964599609375,partial_back,0.5,False,13,0
24,2,Unknown,0.0,15.7928466796875,back_view,0.7,False,1,18
24,3,Unknown,0.0,25.55394172668457,partial_back,0.5,False,1,0
26,1,Unknown,0.0,15.991687774658203,partial_back,0.5,False,14,0
26,2,Unknown,0.0,15.397310256958008,back_view,0.7,False,2,20
26,3,Unknown,0.0,21.26598358154297,frontal,0.7,False,0,0
28,1,Unknown,0.0,26.45707130432129,partial_back,0.5,False,15,0
28,2,Unknown,0.0,16.18647575378418,back_view,0.7,False,3,22
28,3,Unknown,0.0,15.164375305175781,frontal,0.7,False,0,0
30,1,Unknown,0.0,28.057575225830078,partial_back,0.5,False,16,0
30,2,Unknown,0.0,43.80917549133301,back_view,0.7,False,4,24
30,3,Unknown,0.0,18.166542053222656,partial_back,0.5,False,1,0
32,1,Unknown,0.0,31.802892684936523,partial_back,0.5,False,17,0
32,2,Unknown,0.0,15.417098999023438,back_view,0.7,False,5,26
32,3,Unknown,0.0,21.300077438354492,partial_back,0.5,False,2,0
34,1,Unknown,0.0,25.673389434814453,partial_back,0.5,False,18,0
34,2,Unknown,0.0,14.260053634643555,profile,0.5,False,0,28
34,3,Unknown,0.0,13.690948486328125,partial_back,0.5,False,3,0
36,1,Unknown,0.0,26.929378509521484,partial_back,0.5,False,19,0
36,2,Unknown,0.0,20.59006690979004,profile,0.5,False,0,30
36,3,Unknown,0.0,19.858837127685547,partial_back,0.5,False,4,0
38,1,Unknown,0.0,19.97995376586914,partial_back,0.5,False,20,0
38,2,Unknown,0.0,18.145322799682617,profile,0.5,False,0,32
38,3,Unknown,0.0,23.007631301879883,partial_back,0.5,False,5,0
40,1,Unknown,0.0,21.447181701660156,partial_back,0.5,False,21,0
40,2,Unknown,0.0,33.31899642944336,profile,0.5,False,0,34
40,3,Unknown,0.0,42.366981506347656,partial_back,0.5,False,6,0
42,1,Unknown,0.0,31.275033950805664,partial_back,0.5,False,22,0
42,2,Unknown,0.0,29.970407485961914,profile,0.5,False,0,36
42,3,Unknown,0.0,39.59822654724121,partial_back,0.5,False,7,0
44,1,Unknown,0.0,34.265756607055664,partial_back,0.5,False,23,0
44,2,Unknown,0.0,41.6715145111084,profile,0.5,False,0,38
44,3,Unknown,0.0,37.724971771240234,partial_back,0.5,False,8,0
46,1,Unknown,0.0,33.45799446105957,partial_back,0.5,False,24,0
46,2,Unknown,0.0,35.642385482788086,profile,0.5,False,0,40
46,3,Unknown,0.0,41.98789596557617,partial_back,0.5,False,9,0
48,1,Unknown,0.0,27.07672119140625,partial_back,0.5,False,25,0
48,2,Unknown,0.0,46.95725440979004,partial_back,0.5,False,1,42
50,1,Unknown,0.0,27.39858627319336,partial_back,0.5,False,26,0
50,2,Unknown,0.0,51.42927169799805,partial_back,0.5,False,2,44
52,1,Unknown,0.0,44.885873794555664,partial_back,0.5,False,27,0
52,2,Unknown,0.0,26.26824378967285,partial_back,0.5,False,3,46
54,1,Unknown,0.0,20.659208297729492,partial_back,0.5,False,28,0
54,2,Unknown,0.0,36.8962287902832,partial_back,0.5,False,4,48
54,4,Unknown,0.0,30.58147430419922,profile,0.5,False,0,0
56,1,Unknown,0.0,43.839216232299805,partial_back,0.5,False,29,0
56,4,Unknown,0.0,32.23919868469238,profile,0.5,False,0,0
56,3,Unknown,0.0,39.27898406982422,partial_back,0.5,False,10,0
58,1,Unknown,0.0,32.41896629333496,partial_back,0.5,False,30,0
58,4,Unknown,0.0,42.03510284423828,profile,0.5,False,0,0
58,3,Unknown,0.0,31.664133071899414,partial_back,0.5,False,11,0
60,1,Unknown,0.0,34.63006019592285,partial_back,0.5,False,31,0
60,4,Unknown,0.0,21.63410186767578,profile,0.5,False,0,0
60,3,Unknown,0.0,40.8473014831543,partial_back,0.5,False,12,0
62,1,Unknown,0.0,33.48565101623535,partial_back,0.5,False,32,0
62,4,Unknown,0.0,37.96720504760742,back_view,0.7,False,1,0
62,3,Unknown,0.0,14.214277267456055,partial_back,0.5,False,13,0
64,1,Unknown,0.0,30.21693229675293,partial_back,0.5,False,33,0
64,4,Unknown,0.0,31.772613525390625,profile,0.5,False,0,0
64,3,Unknown,0.0,12.839794158935547,partial_back,0.5,False,14,0
66,1,Unknown,0.0,38.36965560913086,partial_back,0.5,False,34,0
66,4,Unknown,0.0,31.22878074645996,back_view,0.7,False,1,0
66,3,Unknown,0.0,32.56630897521973,partial_back,0.5,False,15,0
68,1,Unknown,0.0,41.168928146362305,partial_back,0.5,False,35,0
68,4,Unknown,0.0,31.840801239013672,back_view,0.7,False,2,0
68,3,Unknown,0.0,26.323556900024414,partial_back,0.5,False,16,0
70,1,Unknown,0.0,50.1704216003418,partial_back,0.5,False,36,0
70,4,Unknown,0.0,37.51540184020996,back_view,0.7,False,3,0
