frame,track_id,name,confidence,inference_time_ms,pose,pose_confidence,is_locked,consecutive_back_frames,frames_since_face,ground_truth,dataset_predicted,dataset_confidence
64,1,Unknown,0.0,36.84115409851074,partial_back,0.5,False,33,33,,,
64,4,Unknown,0.0,34.11555290222168,profile,0.5,False,0,6,,,
64,3,Unknown,0.0,14.548063278198242,partial_back,0.5,False,14,17,,,
66,1,Unknown,0.0,40.491580963134766,partial_back,0.5,False,34,34,,,
66,4,Unknown,0.0,33.39385986328125,back_view,0.7,False,1,7,,,
66,3,Unknown,0.0,32.68575668334961,partial_back,0.5,False,15,18,,,
68,1,Unknown,0.0,43.879032135009766,partial_back,0.5,False,35,35,,,
68,4,Unknown,0.0,31.90016746520996,back_view,0.7,False,2,8,,,
68,3,Unknown,0.0,21.449565887451172,partial_back,0.5,False,16,19,,,
70,1,Unknown,0.0,48.98381233215332,partial_back,0.5,False,36,36,,,
70,4,Unknown,0.0,36.606550216674805,back_view,0.7,False,3,9,,,
70,3,Unknown,0.0,28.0303955078125,back_view,0.8999999999999999,False,17,20,,,
72,1,Unknown,0.0,43.26033592224121,partial_back,0.5,False,37,37,,,
72,4,Unknown,0.0,34.72113609313965,profile,0.5,False,0,10,,,
72,3,Unknown,0.0,20.400047302246094,back_view,0.8999999999999999,False,18,21,,,
74,1,Unknown,0.0,50.040483474731445,back_view,0.8999999999999999,False,38,38,,,
74,4,Unknown,0.0,42.018890380859375,profile,0.5,False,0,11,,,
74,3,Unknown,0.0,26.86786651611328,partial_back,0.5,False,19,22,,,
76,1,Unknown,0.0,48.78568649291992,partial_back,0.5,False,39,39,,,
76,4,Unknown,0.0,41.594743728637695,profile,0.5,False,0,12,,,
76,3,Unknown,0.0,19.446372985839844,partial_back,0.5,False,20,23,,,
78,1,Unknown,0.0,39.81924057006836,partial_back,0.5,False,40,40,,,
78,4,Unknown,0.0,41.161298751831055,profile,0.5,False,0,13,,,
78,3,Unknown,0.0,23.324251174926758,partial_back,0.5,False,21,24,,,
80,1,Unknown,0.0,58.246612548828125,partial_back,0.5,False,41,41,,,
80,4,Unknown,0.0,34.46483612060547,profile,0.5,False,0,14,,,
80,3,Unknown,0.0,30.619144439697266,partial_back,0.5,False,22,25,,,
82,1,Unknown,0.0,49.623966217041016,partial_back,0.5,False,42,42,,,
82,4,Unknown,0.0,54.85653877258301,partial_back,0.5,False,1,15,,,
82,3,Unknown,0.0,18.352746963500977,partial_back,0.5,False,23,26,,,
84,1,Unknown,0.0,49.15571212768555,partial_back,0.5,False,43,43,,,
84,4,Unknown,0.0,58.22110176086426,back_view,0.8999999999999999,False,2,16,,,
84,3,Unknown,0.0,24.199485778808594,partial_back,0.5,False,24,27,,,
86,1,Unknown,0.0,46.5998649597168,partial_back,0.5,False,44,44,,,
86,4,Unknown,0.0,58.376312255859375,back_view,0.7,False,3,17,,,
86,3,Unknown,0.0,18.392324447631836,partial_back,0.5,False,25,28,,,
88,1,Unknown,0.0,33.88404846191406,partial_back,0.5,False,45,45,,,
88,4,Unknown,0.0,57.698965072631836,back_view,0.8999999999999999,False,4,18,,,
88,3,Unknown,0.0,37.02282905578613,partial_back,0.5,False,26,29,,,
90,1,Unknown,0.0,38.60616683959961,partial_back,0.5,False,46,46,,,
90,4,Unknown,0.0,55.65237998962402,partial_back,0.5,False,5,19,,,
90,3,Unknown,0.0,19.5004940032959,partial_back,0.5,False,27,30,,,
92,1,Unknown,0.0,34.06357765197754,partial_back,0.5,False,47,47,,,
92,4,Unknown,0.0,55.88507652282715,partial_back,0.5,False,6,20,,,
92,3,Unknown,0.0,14.699220657348633,partial_back,0.5,False,28,31,,,
92,5,Unknown,0.0,21.827220916748047,back_view,0.7,False,1,1,,,
94,1,Unknown,0.0,39.68000411987305,partial_back,0.5,False,48,48,,,
94,4,Unknown,0.0,42.482852935791016,back_view,0.8999999999999999,False,7,21,,,
94,3,Unknown,0.0,14.465808868408203,partial_back,0.5,False,29,32,,,
94,5,Unknown,0.0,8.641481399536133,back_view,0.7,False,2,2,,,
96,1,Unknown,0.0,37.514686584472656,partial_back,0.5,False,49,49,,,
96,4,Unknown,0.0,51.40876770019531,back_view,0.8999999999999999,False,8,22,,,
96,3,Unknown,0.0,13.745307922363281,partial_back,0.5,False,30,33,,,
98,1,Unknown,0.0,34.96956825256348,partial_back,0.5,False,50,50,,,
98,4,Unknown,0.0,27.98295021057129,partial_back,0.5,False,9,23,,,
98,3,Unknown,0.0,14.246463775634766,partial_back,0.5,False,31,34,,,
100,4,Unknown,0.0,60.16182899475098,partial_back,0.5,False,10,24,,,
100,3,Unknown,0.0,9.109020233154297,partial_back,0.5,False,32,35,,,
102,4,Unknown,0.0,70.81341743469238,partial_back,0.5,False,10,24,,,
102,5,Unknown,0.0,11.496782302856445,profile,0.5,False,0,3,,,
102,1,Unknown,0.0,43.29228401184082,partial_back,0.5,False,51,51,,,
104,4,Unknown,0.0,27.844905853271484,back_view,0.8999999999999999,False,11,25,,,
104,3,Unknown,0.0,29.897689819335938,partial_back,0.5,False,33,36,,,
106,4,Unknown,0.0,31.836986541748047,back_view,0.6000000000000001,False,12,26,,,
106,6,Unknown,0.0,35.119056701660156,back_view,0.7,False,1,1,,,
106,3,Unknown,0.0,19.737958908081055,partial_back,0.5,False,34,37,,,
106,1,Unknown,0.0,46.080589294433594,partial_back,0.5,False,52,52,,,
108,4,Unknown,0.0,25.391817092895508,back_view,0.6000000000000001,False,13,27,,,
108,6,Unknown,0.0,25.168895721435547,back_view,0.7,False,2,2,,,
108,3,Unknown,0.0,22.186279296875,partial_back,0.5,False,35,38,,,
108,1,Unknown,0.0,33.954620361328125,partial_back,0.5,False,53,53,,,
110,4,Unknown,0.0,49.04890060424805,back_view,0.6000000000000001,False,14,28,,,
110,6,Unknown,0.0,19.946575164794922,back_view,0.7,False,3,3,,,
110,3,Unknown,0.0,39.97087478637695,partial_back,0.5,False,36,39,,,
110,1,myke,0.7172297084213659,37.0936393737793,back_view,0.8999999999999999,True,0,53,,,
112,4,Unknown,0.0,38.46168518066406,back_view,0.6000000000000001,False,15,29,,,
112,6,Unknown,0.0,12.90273666381836,back_view,0.7,False,4,4,,,
112,3,Unknown,0.0,34.00135040283203,partial_back,0.5,False,37,40,,,
112,1,myke,0.7259257049610749,30.292034149169922,partial_back,0.5,True,0,53,,,
114,4,Unknown,0.0,42.05942153930664,back_view,0.6000000000000001,False,16,30,,,
114,6,Unknown,0.0,23.98824691772461,back_view,0.7,False,5,5,,,
114,3,Unknown,0.0,12.529134750366211,partial_back,0.5,False,38,41,,,
114,1,myke,0.7280759499833162,42.025089263916016,partial_back,0.5,True,1,54,,,
116,4,Unknown,0.0,30.81512451171875,back_view,0.8999999999999999,False,17,31,,,
116,6,Unknown,0.0,21.755218505859375,partial_back,0.5,False,6,6,,,
116,3,Unknown,0.0,10.666847229003906,partial_back,0.5,False,39,42,,,
116,1,myke,0.7302301146971995,38.75088691711426,partial_back,0.5,True,2,55,,,
118,4,Unknown,0.0,26.98493003845215,back_view,0.8999999999999999,False,18,32,,,
118,3,Unknown,0.0,12.39919662475586,partial_back,0.5,False,40,43,,,
118,1,myke,0.73238818720292,44.15631294250488,back_view,0.8999999999999999,True,3,56,,,
