frame,track_id,name,confidence,inference_time_ms,pose,pose_confidence,is_locked,consecutive_back_frames,frames_since_face
0,1,Unknown,0.0,255.04088401794434,frontal,0.7,False,0,0
2,1,Unknown,0.0,61.07187271118164,frontal,0.7,False,0,0
4,1,Unknown,0.0,75.2403736114502,profile,0.5,False,0,0
6,1,Unknown,0.0,61.81979179382324,frontal,0.7,False,0,0
8,1,Unknown,0.0,55.315494537353516,frontal,0.7,False,0,0
10,1,Unknown,0.0,78.37486267089844,frontal,0.7,False,0,0
12,1,Unknown,0.0,56.13136291503906,frontal,0.7,False,0,0
14,1,Unknown,0.0,53.25961112976074,frontal,0.7,False,0,0
16,1,Myke,0.8729358826939061,38.01536560058594,frontal,0.7,True,0,0
18,1,Myke,0.8720159599278937,41.93401336669922,frontal,0.7,True,0,0
20,1,Myke,0.8275412907242558,42.871713638305664,frontal,0.7,True,0,0
22,1,Myke,0.8989099800859884,42.59753227233887,frontal,0.7,True,0,0
24,1,Myke,0.8246311720921821,41.055917739868164,frontal,0.7,True,0,0
26,1,Myke,0.7429170678224442,49.0565299987793,frontal,0.7,True,0,0
28,1,Myke,0.9215376915208207,41.50867462158203,frontal,0.7,True,0,0
30,1,Myke,0.9083335608146965,33.364295959472656,frontal,0.7,True,0,0
32,1,Myke,0.856073030048375,39.09420967102051,frontal,0.7,True,0,0
34,1,Myke,0.8731944906493425,45.81475257873535,frontal,0.7,True,0,0
36,1,Myke,0.8699956881652637,40.110111236572266,frontal,0.7,True,0,2
38,1,Myke,0.8668061881131588,45.6385612487793,profile,0.5,True,0,4
40,1,Myke,0.8636259660785095,51.52606964111328,frontal,0.7,True,0,6
42,1,Myke,0.8604549977072463,48.357248306274414,frontal,0.7,True,0,8
44,1,Myke,0.8572932587056039,38.91730308532715,frontal,0.7,True,0,10
46,1,Myke,0.8541407248399773,39.70003128051758,frontal,0.7,True,0,12
48,1,Myke,0.8509973719367783,45.738935470581055,frontal,0.7,True,0,14
50,1,Myke,0.8782637295536396,35.9959602355957,frontal,0.7,True,0,0
52,1,Myke,0.8750463567577081,34.568071365356445,frontal,0.7,True,0,2
54,1,Myke,0.8777778482901927,43.98632049560547,partial_back,0.5,True,1,4
56,1,Myke,0.8745573723718837,28.12027931213379,frontal,0.7,True,1,6
58,1,Myke,0.8772824228280238,48.86364936828613,partial_back,0.5,True,2,8
60,1,Myke,0.8800134869114589,32.80282020568848,partial_back,0.5,True,3,10
62,1,Myke,0.8827505595819785,30.94339370727539,partial_back,0.5,True,4,12
64,1,Myke,0.9095005765390082,43.58530044555664,partial_back,0.5,True,0,0
66,1,Myke,0.9276905880697883,38.44785690307617,partial_back,0.5,True,0,0
68,1,Myke,0.9462443998311841,35.53652763366699,partial_back,0.5,True,0,0
70,1,Myke,0.9492007843281306,35.53938865661621,partial_back,0.5,True,1,2
72,1,Myke,0.9521637518155066,18.804311752319336,partial_back,0.5,True,2,4
74,1,Myke,0.955133297390134,40.87209701538086,partial_back,0.5,True,3,6
76,1,Myke,0.9581094159501645,44.72041130065918,partial_back,0.5,True,4,8
78,1,Myke,0.9610921021932871,42.66691207885742,partial_back,0.5,True,5,10
80,1,Myke,0.9640813506149196,43.17188262939453,partial_back,0.5,True,6,12
82,1,Myke,0.9670771555063917,41.60332679748535,partial_back,0.5,True,7,14
84,1,Myke,0.970079510953111,29.265403747558594,partial_back,0.5,True,8,16
86,1,Myke,0.9730884108327184,33.97965431213379,partial_back,0.5,True,9,18
88,1,Myke,0.9761038488132313,38.81573677062988,partial_back,0.5,True,10,20
90,1,Myke,0.9791258183511713,40.66777229309082,partial_back,0.5,True,11,22
92,1,Myke,0.979804,29.666423797607422,partial_back,0.5,True,12,24
94,1,Myke,0.9781376666666667,31.046390533447266,partial_back,0.5,True,13,26
96,1,Myke,0.9764713333333334,44.370412826538086,partial_back,0.5,True,14,28
98,1,Myke,0.974805,57.23214149475098,partial_back,0.5,True,15,30
100,1,Myke,0.9731386666666667,25.342226028442383,partial_back,0.5,True,16,32
102,1,Myke,0.9714723333333334,36.90767288208008,partial_back,0.5,True,17,34
104,1,Myke,0.969806,27.922391891479492,partial_back,0.5,True,18,36
106,1,Myke,0.9681396666666667,26.470422744750977,partial_back,0.5,True,19,38
110,1,Myke,0.9645403866666667,21.645545959472656,profile,0.5,True,19,42
116,1,Myke,0.960951631228,13.83209228515625,profile,0.5,True,19,48
118,1,Myke,0.9573733726495413,15.718698501586914,profile,0.5,True,19,50
120,1,Myke,0.9538055832988714,15.137434005737305,profile,0.5,True,19,52
122,1,Myke,0.9502482356121137,13.330936431884766,profile,0.5,True,19,54
132,1,Myke,0.94670130209377,12.659549713134766,profile,0.5,True,19,64
134,1,Myke,0.9431647553165571,16.764402389526367,profile,0.5,True,19,66
136,1,Myke,0.9396385679212447,33.223628997802734,profile,0.5,True,19,68
138,1,Myke,0.9425001658460308,36.82851791381836,partial_back,0.5,True,20,70
140,1,Myke,0.9453675891346847,36.754608154296875,partial_back,0.5,True,21,72
142,1,Myke,0.948240827795301,35.150766372680664,partial_back,0.5,True,22,74
144,1,Myke,0.9481436666666667,27.668237686157227,partial_back,0.5,True,23,76
146,1,Myke,1.0,30.245304107666016,partial_back,0.5,True,0,0
148,1,Myke,0.9981336666666667,41.054725646972656,partial_back,0.5,True,1,2
150,1,Myke,0.9964673333333334,37.91928291320801,partial_back,0.5,True,2,4
152,1,Myke,0.994801,22.500038146972656,partial_back,0.5,True,3,6
154,1,Myke,0.9931346666666666,42.27042198181152,partial_back,0.5,True,4,8
158,1,Myke,0.9914683333333334,20.10369300842285,partial_back,0.5,True,5,12
160,1,Myke,0.989802,23.128032684326172,back_view,0.8999999999999999,True,6,14
162,1,Myke,0.9881356666666666,25.789260864257812,back_view,0.8999999999999999,True,7,16
164,1,Myke,0.9864693333333334,23.645639419555664,partial_back,0.5,True,8,18
166,1,Myke,0.984803,21.825075149536133,partial_back,0.5,True,9,20
168,1,Myke,0.9831366666666667,19.492626190185547,partial_back,0.5,True,10,22
170,1,Myke,0.9814703333333333,20.499706268310547,partial_back,0.5,True,11,24
172,1,Myke,0.979804,43.89524459838867,partial_back,0.5,True,12,26
174,1,Myke,0.9781376666666667,37.18233108520508,partial_back,0.5,True,13,28
176,1,Myke,0.9764713333333334,33.18333625793457,partial_back,0.5,True,14,30
178,1,Myke,0.97285539,19.45948600769043,profile,0.5,True,14,32
180,1,Myke,0.9692500045546667,31.61168098449707,profile,0.5,True,14,34
182,1,Myke,0.9656551492295546,15.115737915039062,profile,0.5,True,14,36
184,1,Myke,0.968625024125543,31.21781349182129,partial_back,0.5,True,15,38
186,1,Myke,0.9681396666666667,18.271446228027344,partial_back,0.5,True,16,40
188,1,Myke,0.9664733333333334,22.59540557861328,partial_back,0.5,True,17,42
190,1,Myke,0.962877386,44.32940483093262,profile,0.5,True,17,44
192,1,Myke,0.9592919565626666,20.264148712158203,profile,0.5,True,17,46
194,1,Myke,0.9557170173335386,54.93593215942383,profile,0.5,True,17,48
196,1,Myke,0.9521525406935007,39.402008056640625,profile,0.5,True,17,50
198,1,Myke,0.9485984990919539,33.997297286987305,profile,0.5,True,17,52
200,1,Myke,0.9450548650466504,16.877174377441406,profile,0.5,True,17,54
202,1,Myke,0.9415216111435317,21.546363830566406,profile,0.5,True,17,56
204,1,Myke,0.9379987100365654,19.710063934326172,profile,0.5,True,17,58
206,1,Myke,0.9344861344475822,16.485214233398438,profile,0.5,True,17,60
208,1,Myke,0.930983857166115,15.970230102539062,profile,0.5,True,17,62
210,1,Myke,0.9274918510492358,17.78864860534668,profile,0.5,True,17,64
212,1,Myke,0.9240100890213954,33.56528282165527,profile,0.5,True,17,66
214,1,Myke,0.9205385440742622,36.875247955322266,profile,0.5,True,17,68
