frame,track_id,name,confidence,inference_time_ms,pose,pose_confidence,is_locked,consecutive_back_frames,frames_since_face
0,1,Unknown,0.0,408.8566303253174,frontal,0.7,False,0,0
2,1,Unknown,0.0,89.68782424926758,frontal,0.7,False,0,0
4,1,Unknown,0.0,98.39296340942383,profile,0.5,False,0,0
6,1,Unknown,0.0,118.99805068969727,frontal,0.7,False,0,0
8,1,Unknown,0.0,88.97566795349121,frontal,0.7,False,0,0
10,1,Unknown,0.0,108.26611518859863,frontal,0.7,False,0,0
12,1,Unknown,0.0,87.20016479492188,frontal,0.7,False,0,0
14,1,Unknown,0.0,77.93617248535156,frontal,0.7,False,0,0
16,1,myke,0.778425552910482,87.18490600585938,frontal,0.7,True,0,0
18,1,myke,0.7793814323352662,90.32702445983887,frontal,0.7,True,0,0
20,1,myke,0.7986920484683995,70.39213180541992,frontal,0.7,True,0,0
22,1,myke,0.8468836502820171,73.84181022644043,frontal,0.7,True,0,0
24,1,myke,0.8270842594965628,131.9725513458252,frontal,0.7,True,0,0
26,1,myke,0.8261774242286121,84.09667015075684,frontal,0.7,True,0,0
28,1,myke,0.8084296168988467,112.28227615356445,frontal,0.7,True,0,0
30,1,myke,0.80829010668728,75.46114921569824,frontal,0.7,True,0,0
32,1,myke,0.8053290705964489,83.44554901123047,frontal,0.7,True,0,2
34,1,myke,0.8023766454895545,103.44696044921875,frontal,0.7,True,0,4
36,1,myke,0.7994328087668051,112.1072769165039,frontal,0.7,True,0,6
38,1,myke,0.7964975378843648,97.1224308013916,profile,0.5,True,0,8
40,1,myke,0.7935708103542194,133.7416172027588,frontal,0.7,True,0,10
42,1,myke,0.7906526037440428,115.50092697143555,frontal,0.7,True,0,12
44,1,myke,0.7877428956770655,86.92336082458496,frontal,0.7,True,0,14
46,1,myke,0.7848416638319412,85.35337448120117,frontal,0.7,True,0,16
48,1,myke,0.7819488859426147,96.86279296875,frontal,0.7,True,0,18
50,1,myke,0.7790645397981902,87.22400665283203,frontal,0.7,True,0,20
52,1,myke,0.7761886032427997,115.14163017272949,frontal,0.7,True,0,22
54,1,myke,0.7785894007158912,61.431884765625,partial_back,0.5,True,1,24
56,1,myke,0.7757107385438565,37.02402114868164,frontal,0.7,True,1,26
58,1,myke,0.7781055492088301,72.90482521057129,partial_back,0.5,True,2,28
60,1,myke,0.7805054803371972,66.12133979797363,partial_back,0.5,True,3,30
62,1,myke,0.7829105259217162,36.01384162902832,partial_back,0.5,True,4,32
64,1,myke,0.7853206797795602,51.13959312438965,partial_back,0.5,True,5,34
66,1,myke,0.7877359355507728,66.29633903503418,partial_back,0.5,True,6,36
68,1,myke,0.7901562866967087,32.52005577087402,partial_back,0.5,True,7,38
70,1,myke,0.7925817264984651,37.811994552612305,partial_back,0.5,True,8,40
72,1,myke,0.7950122480553037,18.41282844543457,partial_back,0.5,True,9,42
74,1,myke,0.7974478442830584,36.65947914123535,partial_back,0.5,True,10,44
76,1,myke,0.7998885079125343,43.63274574279785,partial_back,0.5,True,11,46
78,1,myke,0.8023342314878955,37.23931312561035,partial_back,0.5,True,12,48
80,1,myke,0.8047850073650407,41.203975677490234,partial_back,0.5,True,13,50
82,1,myke,0.8072408277099673,36.56506538391113,partial_back,0.5,True,14,52
84,1,myke,0.8097016844971262,27.692079544067383,partial_back,0.5,True,15,54
86,1,myke,0.8121675695077626,31.649112701416016,partial_back,0.5,True,16,56
88,1,myke,0.8146384743282467,35.86435317993164,partial_back,0.5,True,17,58
90,1,myke,0.8171143903483927,28.914928436279297,partial_back,0.5,True,18,60
92,1,myke,0.8195953087597665,33.76150131225586,partial_back,0.5,True,19,62
94,1,myke,0.82208122055398,25.600671768188477,partial_back,0.5,True,20,64
96,1,myke,0.8245721165209757,30.53593635559082,partial_back,0.5,True,21,66
98,1,myke,0.827067987247299,48.238515853881836,partial_back,0.5,True,22,68
100,1,myke,0.8295688231143564,27.52828598022461,partial_back,0.5,True,23,70
102,1,myke,0.8320746142966653,46.7684268951416,partial_back,0.5,True,24,72
104,1,myke,0.8345853507600888,28.80072593688965,partial_back,0.5,True,25,74
106,1,myke,0.8371010222600588,26.076316833496094,partial_back,0.5,True,26,76
110,1,myke,0.833940295624408,25.73418617248535,profile,0.5,True,26,80
116,1,myke,0.8307888634912105,13.905048370361328,profile,0.5,True,26,86
118,1,myke,0.8276467013253633,16.134977340698242,profile,0.5,True,26,88
120,1,myke,0.8245137846527255,17.044782638549805,profile,0.5,True,26,90
122,1,myke,0.8213900890599732,13.494253158569336,profile,0.5,True,26,92
