frame,track_id,name,confidence,inference_time_ms,pose,pose_confidence,is_locked,consecutive_back_frames
440,3,myke,0.8552769316539305,0.0,frontal,0.7,True,0
445,3,myke,0.8535663777906226,691.6429996490479,frontal,0.7,True,0
450,3,myke,0.8518592450350414,0.0,frontal,0.7,True,0
455,3,myke,0.8501555265449713,0.0,frontal,0.7,True,0
460,3,myke,0.8484552154918813,0.0,frontal,0.7,True,0
465,3,myke,0.8467583050608976,0.0,frontal,0.7,True,0
470,3,myke,0.8450647884507757,0.0,frontal,0.7,True,0
475,3,myke,0.8433746588738742,600.4111766815186,frontal,0.7,True,0
480,3,myke,0.8416879095561265,0.0,frontal,0.7,True,0
485,3,myke,0.8400045337370142,0.0,frontal,0.7,True,0
490,3,myke,0.8383245246695402,0.0,frontal,0.7,True,0
495,3,myke,0.8366478756202012,0.0,frontal,0.7,True,0
500,3,myke,0.8349745798689607,0.0,frontal,0.7,True,0
505,3,myke,0.8333046307092228,650.0277519226074,frontal,0.7,True,0
510,3,myke,0.8316380214478043,0.0,frontal,0.7,True,0
515,3,myke,0.8299747454049087,0.0,frontal,0.7,True,0
520,3,myke,0.8283147959140988,0.0,frontal,0.7,True,0
525,3,myke,0.8266581663222706,0.0,frontal,0.7,True,0
530,3,myke,0.8250048499896261,0.0,frontal,0.7,True,0
535,3,myke,0.9658662379356643,257.9998970031738,frontal,0.7,True,0
540,3,myke,0.963934505459793,0.0,frontal,0.7,True,0
545,3,myke,0.9620066364488734,0.0,frontal,0.7,True,0
550,3,myke,0.9600826231759757,0.0,frontal,0.7,True,0
555,3,myke,0.9581624579296237,0.0,frontal,0.7,True,0
560,3,myke,0.9562461330137645,0.0,frontal,0.7,True,0
565,3,myke,0.9632656971184912,253.65614891052246,frontal,0.7,True,0
570,3,myke,0.9613391657242543,0.0,frontal,0.7,True,0
575,3,myke,0.9594164873928057,0.0,frontal,0.7,True,0
580,3,myke,0.9574976544180201,0.0,frontal,0.7,True,0
585,3,myke,0.9555826591091842,0.0,frontal,0.7,True,0
590,3,myke,0.9536714937909658,0.0,frontal,0.7,True,0
595,3,myke,0.914901600758629,261.3956928253174,frontal,0.7,True,0
600,3,myke,0.9130717975571118,0.0,frontal,0.7,True,0
605,3,myke,0.9112456539619975,0.0,frontal,0.7,True,0
610,3,myke,0.9094231626540735,0.0,frontal,0.7,True,0
615,3,myke,0.9076043163287654,0.0,frontal,0.7,True,0
620,3,myke,0.9057891076961079,0.0,frontal,0.7,True,0
625,3,myke,0.887540347184281,257.033109664917,frontal,0.7,True,0
630,3,myke,0.8857652664899124,0.0,frontal,0.7,True,0
635,3,myke,0.8839937359569325,0.0,frontal,0.7,True,0
640,3,myke,0.8822257484850187,0.0,frontal,0.7,True,0
645,3,myke,0.8804612969880486,0.0,frontal,0.7,True,0
650,3,myke,0.8787003743940726,0.0,frontal,0.7,True,0
655,3,myke,0.8769429736452844,560.0180625915527,frontal,0.7,True,0
660,3,myke,0.8765045021584618,0.0,back_view,0.7,True,1
665,3,myke,0.8747514931541448,0.0,frontal,0.7,True,1
670,3,myke,0.8730019901678365,0.0,frontal,0.7,True,1
675,3,myke,0.8712559861875009,0.0,frontal,0.7,True,1
680,3,myke,0.8695134742151259,0.0,frontal,0.7,True,1
685,3,myke,0.8690787174780185,463.31787109375,back_view,0.7,True,2
690,3,myke,0.8673405600430624,0.0,frontal,0.7,True,2
695,3,myke,0.8656058789229762,0.0,frontal,0.7,True,2
700,3,myke,0.8638746671651303,0.0,frontal,0.7,True,2
705,3,myke,0.8621469178308,0.0,frontal,0.7,True,2
710,3,myke,0.8604226239951384,0.0,frontal,0.7,True,2
715,3,myke,0.858701778747148,450.8068561553955,frontal,0.7,True,2
720,3,myke,0.8569843751896538,0.0,frontal,0.7,True,2
725,3,myke,0.8552704064392744,0.0,frontal,0.7,True,2
730,3,myke,0.8535598656263959,0.0,frontal,0.7,True,2
735,3,myke,0.851852745895143,0.0,frontal,0.7,True,2
740,3,myke,0.8501490404033527,0.0,frontal,0.7,True,2
745,3,myke,0.848448742322546,472.581148147583,frontal,0.7,True,2
750,3,myke,0.8467518448379009,0.0,frontal,0.7,True,2
755,3,myke,0.8450583411482251,0.0,frontal,0.7,True,2
760,3,myke,0.8433682244659286,0.0,frontal,0.7,True,2
765,3,myke,0.8416814880169967,0.0,frontal,0.7,True,2
770,3,myke,0.8399981250409627,0.0,frontal,0.7,True,2
775,3,myke,0.8383181287908807,471.62818908691406,frontal,0.7,True,2
780,3,myke,0.836641492533299,0.0,frontal,0.7,True,2
785,3,myke,0.8349682095482324,0.0,frontal,0.7,True,2
790,3,myke,0.8332982731291358,0.0,frontal,0.7,True,2
795,3,myke,0.8316316765828776,0.0,frontal,0.7,True,2
800,3,myke,0.8299684132297118,0.0,frontal,0.7,True,2
805,3,myke,0.8283084764032524,467.52023696899414,frontal,0.7,True,2
810,3,myke,0.826651859450446,0.0,frontal,0.7,True,2
815,3,myke,0.824998555731545,0.0,frontal,0.7,True,2
820,3,myke,0.8233485586200819,0.0,frontal,0.7,True,2
825,3,myke,0.8217018615028417,0.0,frontal,0.7,True,2
830,3,myke,0.8200584577798361,0.0,frontal,0.7,True,2
835,3,myke,0.8184183408642765,466.0758972167969,frontal,0.7,True,2
840,3,myke,0.8167815041825479,0.0,frontal,0.7,True,2
845,3,myke,0.8151479411741828,0.0,frontal,0.7,True,2
850,3,myke,0.8135176452918343,0.0,frontal,0.7,True,2
855,3,myke,0.8118906100012506,0.0,frontal,0.7,True,2
860,3,myke,0.8102668287812481,0.0,frontal,0.7,True,2
865,3,myke,0.8086462951236856,469.9280261993408,frontal,0.7,True,2
870,3,myke,0.8070290025334382,0.0,frontal,0.7,True,2
